EDO,MPIO,TIPACCID,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE
9,2,1,2,5,7,29,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,4,2,5,7,20,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,2,5,7,26,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,68,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,29,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,27,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,3,5,7,31,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,4,2,5,7,35,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,4,2,5,7,34,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,55,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,28,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,11,3,5,7,36,0,0,0,0,0,0,0,1,0,0,0,1,2
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,2,5,9,46,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,2,5,7,20,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,3,5,7,51,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,62,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,35,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,65,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,33,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,6,9,58,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,25,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,4,9,57,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,6,9,23,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,2,5,7,57,1,0,0,0,0,0,0,0,0,0,1,0,1
9,2,1,2,6,9,61,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,52,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,11,2,5,9,37,0,0,0,0,0,0,0,1,0,0,0,1,2
9,2,1,2,5,9,38,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,3,5,7,36,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,3,5,7,40,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,4,2,4,9,26,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,1,2,6,9,55,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,2,5,7,22,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,1,2,5,7,38,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,2,5,9,28,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,2,2,6,9,41,0,0,0,0,1,0,0,0,0,0,1,0,1
9,2,1,2,5,7,41,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,3,5,7,39,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,10,2,5,8,20,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,10,2,5,7,21,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,59,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,4,2,5,7,43,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2,1,2,4,9,54,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,10,2,4,9,69,0,1,0,0,0,0,0,0,0,0,0,1,2
9,2,1,2,5,7,19,0,0,0,0,0,0,0,0,0,0,0,0,3
